OBJECTID,DISSOLVE_ID,class,subtype,names_primary,UrbanPC,SampleSize_avg,RoadLength,WeightedSample,Percent_,Percentile,SpeedLimit,RoadClass,LandUse,NumberOverLimit,MedianSpeed,F85thPercentileSpeed,Pass,ExcludeFromSpeedSPI,PercentileBand,RankedPercentile,Sample_Size_Total,SpeedLimitFloor,PercentOverLimit,AnalysisStatus,StreetImageLink,Shape_Length
1,SE/4183,secondary,road,,0,0,5.872278972,0,0,0,,secondary,RURAL,0,0,0,1,1,"0-5%",0.000249376558603491,0,,0,Valid,"73.5544591,16.2774648,73.53445,16.2401913",5872.27897161154
2,SE/6376,secondary,road,,0,0.5,5.900951225,2.9504756125,1.70441441726573e-09,1.70441441726573e-09,"55",secondary,RURAL,0,18,18,1,0,"0-5%",0.000498753117206983,1,55,0,Valid,"73.9651122,21.0463691,73.9910297,21.0647687",5900.9512246697
3,SE/8617,secondary,road,,0,1,3.496819447,3.496819447,2.020023298885e-09,3.72443771615073e-09,,secondary,RURAL,0,23.5,27,1,1,"0-5%",0.000748129675810474,2,,0,Valid,"74.9005386,19.0351416,74.8847951,19.020001",3496.81944703743
4,SE/10875,secondary,road,उमरी रोड,0,2,2.061238294,4.122476588,2.38144945230509e-09,6.10588716845582e-09,"55",secondary,RURAL,0,13,18,1,0,"0-5%",0.000997506234413965,4,55,0,Valid,"76.593981,19.1964024,76.6112397,19.1893524",2061.23829369999
5,SE/5916,secondary,road,,0,1,4.845749302,4.845749302,2.79926562951184e-09,8.90515279796766e-09,"55",secondary,RURAL,0,13.3666666666667,13.3333333333333,1,0,"0-5%",0.00124688279301746,6,55,0,Valid,"76.0436565,17.370428,76.0713028,17.3902438",4845.74930229841
6,SE/7171,secondary,road,,0,10,0.570855084,5.70855084,3.29768404530082e-09,1.22028368432685e-08,"45",secondary,RURAL,2,30,62.5,1,0,"0-5%",0.00149625935162095,20,45,0.1,Valid,"77.5032536,21.2514168,77.5055305,21.2556724",570.855084030625
7,SE/4924,secondary,road,,0,4.5,3.948716535,17.7692244075,1.02648271809002e-08,2.24676640241687e-08,,secondary,RURAL,3,38,44,1,1,"0-5%",0.00174563591022444,9,,0.333333333333333,Valid,"74.5914167,17.2199067,74.564763,17.2037111",3948.71653465322
8,SE/4206,secondary,road,,0,1.5,12.818648077,19.2279721155,1.11075084808693e-08,3.35751725050379e-08,,secondary,RURAL,0,23.5,24,1,1,"0-5%",0.00199501246882793,3,,0,Valid,"73.5722796,16.4782199,73.4831462,16.4415587",12818.6480771376
9,SE/9272,secondary,road,,0,5.5,3.853065501,21.1918602555,1.22419965090136e-08,4.58171690140515e-08,"55",secondary,RURAL,0,17.3333333333333,29.5,1,0,"0-5%",0.00224438902743142,33,55,0,Valid,"76.8742052,19.7121018,76.8447986,19.7287697",3853.06550089169
10,SE/5912,secondary,road,,0,4.5,5.051215221,22.7304684945,1.31308111984031e-08,5.89479802124547e-08,"55",secondary,RURAL,0,32,35.5,1,0,"0-5%",0.00249376558603491,9,55,0,Valid,"75.4435521,19.4087744,75.4068624,19.380609",5051.21522118858
11,SE/5284,secondary,road,,0,4,6.329519549,25.318078196,1.46256072451179e-08,7.35735874575725e-08,"55",secondary,RURAL,0,35.5,43,1,0,"0-5%",0.0027431421446384,8,55,0,Valid,"75.6148571,18.1260821,75.6732139,18.1301937",6329.51954935213
12,SE/5268,secondary,road,,0,45,0.597055974,26.86751883,1.55206795324801e-08,8.90942669900526e-08,,secondary,RURAL,51,29,39.5,1,1,"0-5%",0.0029925187032419,90,,0.566666666666667,Valid,"75.6492772,17.9869695,75.6537158,17.9900153",597.055973540908
13,SE/5707,secondary,road,,0,4,6.804720856,27.218883424,1.57236538859007e-08,1.04817920875953e-07,"55",secondary,RURAL,0,29.5,42,1,0,"0-5%",0.00324189526184539,8,55,0,Valid,"74.7606093,19.6568903,74.7204414,19.7035838",6804.72085612652
14,SE/6227,secondary,road,,0,4.16666666666667,7.777846822,32.4076950916667,1.87210978835327e-08,1.23539018759486e-07,"55",secondary,RURAL,0,14.1333333333333,29.3333333333333,1,0,"0-5%",0.00349127182044888,25,55,0,Valid,"76.5852791,19.1706552,76.6044095,19.2349792",7777.84682225421
15,SE/4605,secondary,road,,0,41.5,0.782719332,32.482852278,1.87645142708449e-08,1.42303533030331e-07,"55",secondary,RURAL,3,40.5,48.5,1,0,"0-5%",0.00374064837905237,83,55,0.036144578313253,Valid,"73.9598535,17.2445146,73.95891,17.2376085",782.719331898807
16,SE/5914,secondary,road,,0,10,3.271169145,32.71169145,1.88967088168156e-08,1.61200241847147e-07,"55",secondary,RURAL,0,26.5,31.5,1,0,"0-5%",0.00399002493765586,20,55,0,Valid,"75.7478544,19.572054,75.7717717,19.555453",3271.1691453329
17,SE/7197,secondary,road,,0,50,0.668039294,33.4019647,1.9295462046352e-08,1.80495703893499e-07,"55",secondary,RURAL,19,43.5,57.5,1,0,"0-5%",0.00423940149625935,100,55,0.19,Valid,"79.9436828,18.8368807,79.9490226,18.8400598",668.039293676943
