segment_id,country,road_class,land_use,speed_limit,median_speed,v_safe,misalignment,f85_speed,operating_gap,exposure_level,confidence_level,speedlimit_plausibility,power_environment_used,power_exponent_used,delta_fatal_percent,delta_fatal_percent_ci_low,delta_fatal_percent_ci_high,safety_score,priority_class,score_explanation,street_image_link
thailand_55874-6,thailand,secondary,URBAN,90.0,44.85,30,60.0,54.75,24.75,high,medium,low,urban_residential,2.6,64.84938733225107,11.364511578185821,86.06014822146537,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.272751,13.5586504,100.1896934,13.5259663"
thailand_48896-0,thailand,secondary,URBAN,90.0,44.15,30,60.0,56.0,26.0,high,medium,low,urban_residential,2.6,63.38193243279356,10.945234572253215,84.94316541157586,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.9630913,13.2227075,100.9428103,13.2138517"
thailand_37318-5,thailand,secondary,RURAL,90.0,47.80833333,30,60.0,54.66666667,24.666666669999998,high,medium,low,rural_freeway,4.1,85.20100004872128,74.11243587628944,91.53993792110575,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.4833033,19.2854952,98.9034272,19.0877838"
thailand_39508-1,thailand,secondary,URBAN,90.0,48.5,30,60.0,59.0,29.0,high,medium,low,urban_residential,2.6,71.31949844191571,13.420742932011343,90.49921196508618,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.3996798,18.1921915,99.3904728,18.2012491"
thailand_37318-6,thailand,secondary,RURAL,90.0,47.80833333,30,60.0,54.66666667,24.666666669999998,high,medium,low,rural_freeway,4.1,85.20100004872128,74.11243587628944,91.53993792110575,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.4833033,19.2854952,98.9034272,19.0877838"
thailand_36884-5,thailand,secondary,URBAN,90.0,45.275,30,60.0,55.25,25.25,high,medium,low,urban_residential,2.6,65.70085699752902,11.614944550057649,86.68970444477193,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.9153725,14.5203895,100.9811655,14.5696426"
thailand_37789-0,thailand,secondary,RURAL,90.0,30.0,30,60.0,58.0,28.0,high,medium,low,rural_freeway,4.1,0.0,0.0,0.0,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.8557283,8.0798088,98.8652229,8.0830637"
thailand_34254-1,thailand,primary,URBAN,90.0,46.2,30,60.0,57.0,27.0,high,medium,low,urban_residential,2.6,67.45785874904135,12.149591810411287,87.94552035646834,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"104.857614,15.2166701,104.8655278,15.1959195"
thailand_36684-18,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_36684-12,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_36684-11,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_36684-9,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_38848-5,thailand,secondary,RURAL,90.0,48.725,30,60.0,58.66666667,28.666666669999998,high,medium,low,rural_freeway,4.1,86.30964945774069,75.49970688965101,92.35006303288793,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.2010299,19.369285,99.51199452,19.32494193"
thailand_36684-7,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_36684-2,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_36684-0,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_40580-6,thailand,secondary,RURAL,90.0,33.55,30,60.0,40.0,10.0,high,medium,low,rural_freeway,4.1,36.77951927310738,27.699164226522633,44.71946083912924,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.6168005,20.103561,99.7547195,20.1679977"
thailand_42585-0,thailand,secondary,RURAL,90.0,47.5,30,60.0,56.0,26.0,high,medium,low,rural_freeway,4.1,84.80315811507194,73.62210283741531,91.24479097586735,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.9388117,19.8529611,99.9314091,19.8811725"
thailand_36520-0,thailand,secondary,URBAN,90.0,41.6,30,60.0,51.0,21.0,high,medium,low,urban_residential,2.6,57.256251814443914,9.341531706448503,79.84713349629597,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.1232276,18.7421695,99.0830772,18.7631124"
thailand_50938,thailand,secondary,RURAL,90.0,37.6,30,60.0,45.0,15.0,high,medium,low,rural_freeway,4.1,60.37885881228922,48.04744767977217,69.7832972797894,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"101.3158476,14.3109559,101.3152948,14.3140361"
thailand_37727,thailand,secondary,RURAL,90.0,33.3,30,60.0,54.0,24.0,high,medium,low,rural_freeway,4.1,34.810779653249355,26.113794837736215,42.48406126577413,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.8310499,8.0758594,98.8288744,8.0778232"
thailand_36332-0,thailand,primary,URBAN,90.0,41.1,30,60.0,56.0,26.0,high,medium,low,urban_residential,2.6,55.89106973008211,9.012060566463598,78.61697119784023,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5539023,14.0092831,100.5553978,14.0013324"
thailand_49506-0,thailand,secondary,RURAL,90.0,42.325,30,60.0,49.0,19.0,high,medium,low,rural_freeway,4.1,75.61349401485194,63.14296160741182,83.86463752651233,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"101.0770492,17.4998206,101.184704,17.4944246"
thailand_49658-3,thailand,secondary,RURAL,90.0,46.35,30,60.0,53.5,23.5,high,medium,low,rural_freeway,4.1,83.19675279818418,71.67907740012909,90.03037010783618,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"101.1722993,16.8766252,101.0993218,16.8934972"
thailand_36331-0,thailand,primary,URBAN,90.0,45.2,30,60.0,56.0,26.0,high,medium,low,urban_residential,2.6,65.5526885428979,11.570973091839287,86.5811339544087,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5539023,14.0092831,100.5553978,14.0013324"
thailand_242-3,thailand,secondary,URBAN,90.0,45.7,30,60.0,58.0,28.0,high,medium,low,urban_residential,2.6,66.52403215038001,11.862339935850063,87.28533951714685,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5971918,13.5905197,100.604816,13.5756759"
thailand_24848-0,thailand,primary,URBAN,90.0,35.9,30,60.0,45.0,15.0,high,medium,low,urban_residential,2.6,37.29968885763745,5.243711435078369,58.51115449023154,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5505604,13.9686544,100.5506214,13.9733826"
thailand_36904-10,thailand,primary,RURAL,90.0,39.38,30,60.0,48.1,18.1,high,medium,low,rural_freeway,4.1,67.22318680446,54.56902321155385,76.35270999657347,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.1317305,20.2205255,99.8732981,20.0284413"
thailand_51723-1,thailand,secondary,RURAL,90.0,41.15,30,60.0,52.5,22.5,high,medium,low,rural_freeway,4.1,72.62962156482749,60.00744930476301,81.26807111170888,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"101.7702466,5.9423311,101.7126259,5.8127723"
thailand_30624-5,thailand,primary,URBAN,90.0,32.8,30,60.0,39.5,9.5,high,medium,low,urban_residential,2.6,20.70546281621738,2.6414217191584988,35.41787751816852,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"104.1363282,15.114152,104.12549163,15.10032941"
thailand_36684-13,thailand,primary,URBAN,90.0,35.75,30,60.0,55.0,25.0,high,medium,low,urban_residential,2.6,36.613387582039344,5.12461252696319,57.65115968599734,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9268792,18.7245515,99.0602701,18.8055207"
thailand_16718-2,thailand,secondary,URBAN,90.0,34.3,30,60.0,48.0,18.0,high,medium,low,urban_residential,2.6,29.408802355990417,3.9387706163981018,48.12561512286594,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.76771369,13.94199564,100.77498626,13.94442724"
thailand_55776-1,thailand,secondary,URBAN,90.0,33.525,30,60.0,42.5,12.5,high,medium,low,urban_residential,2.6,25.08713317586754,3.2778948247122464,41.97874823299399,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4368305,13.8485715,100.4773328,13.8027867"
thailand_55776-12,thailand,secondary,URBAN,90.0,33.525,30,60.0,42.5,12.5,high,medium,low,urban_residential,2.6,25.08713317586754,3.2778948247122464,41.97874823299399,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4368305,13.8485715,100.4773328,13.8027867"
thailand_55776-3,thailand,secondary,URBAN,90.0,33.525,30,60.0,42.5,12.5,high,medium,low,urban_residential,2.6,25.08713317586754,3.2778948247122464,41.97874823299399,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4368305,13.8485715,100.4773328,13.8027867"
thailand_55776-5,thailand,secondary,URBAN,90.0,33.525,30,60.0,42.5,12.5,high,medium,low,urban_residential,2.6,25.08713317586754,3.2778948247122464,41.97874823299399,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4368305,13.8485715,100.4773328,13.8027867"
thailand_16722-0,thailand,secondary,URBAN,90.0,46.1,30,60.0,59.0,29.0,high,medium,low,urban_residential,2.6,67.27400525919136,12.092465698253928,87.81684937153148,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.77498626,13.94431781,100.76783499,13.94199564"
thailand_55776-6,thailand,secondary,URBAN,90.0,33.525,30,60.0,42.5,12.5,high,medium,low,urban_residential,2.6,25.08713317586754,3.2778948247122464,41.97874823299399,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4368305,13.8485715,100.4773328,13.8027867"
thailand_55776-13,thailand,secondary,URBAN,90.0,33.525,30,60.0,42.5,12.5,high,medium,low,urban_residential,2.6,25.08713317586754,3.2778948247122464,41.97874823299399,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4368305,13.8485715,100.4773328,13.8027867"
thailand_55874-1,thailand,secondary,URBAN,90.0,44.85,30,60.0,54.75,24.75,high,medium,low,urban_residential,2.6,64.84938733225107,11.364511578185821,86.06014822146537,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.272751,13.5586504,100.1896934,13.5259663"
thailand_55776-7,thailand,secondary,URBAN,90.0,33.525,30,60.0,42.5,12.5,high,medium,low,urban_residential,2.6,25.08713317586754,3.2778948247122464,41.97874823299399,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4368305,13.8485715,100.4773328,13.8027867"
thailand_31619-0,thailand,secondary,RURAL,90.0,24.7,30,60.0,34.0,4.0,high,medium,low,rural_freeway,4.1,-121.89097372767823,-75.72375467788352,-180.18752679209604,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.3652353,8.8247847,98.3649619,8.8327872"
thailand_16722-1,thailand,secondary,URBAN,90.0,46.1,30,60.0,59.0,29.0,high,medium,low,urban_residential,2.6,67.27400525919136,12.092465698253928,87.81684937153148,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.77498626,13.94431781,100.76783499,13.94199564"
thailand_16718-0,thailand,secondary,URBAN,90.0,34.3,30,60.0,48.0,18.0,high,medium,low,urban_residential,2.6,29.408802355990417,3.9387706163981018,48.12561512286594,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.76771369,13.94199564,100.77498626,13.94442724"
thailand_55874-5,thailand,secondary,URBAN,90.0,44.85,30,60.0,54.75,24.75,high,medium,low,urban_residential,2.6,64.84938733225107,11.364511578185821,86.06014822146537,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.272751,13.5586504,100.1896934,13.5259663"
thailand_53252-0,thailand,secondary,URBAN,90.0,34.9,30,60.0,47.0,17.0,high,medium,low,urban_residential,2.6,32.52092010443665,4.437225923017774,52.351464599764206,95.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"102.7769344,17.4255232,102.7825516,17.4497322"
thailand_48718-5,thailand,secondary,RURAL,87.0,44.825,30,57.0,53.75,23.75,high,medium,low,rural_freeway,4.1,80.72635206607785,68.79366446301823,88.09621513424547,92.5,Priority,Posted speed limit is 57 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.9918425,18.6726632,100.9362485,18.4838584"
