segment_id,country,road_class,land_use,speed_limit,median_speed,v_safe,misalignment,f85_speed,operating_gap,exposure_level,confidence_level,speedlimit_plausibility,power_environment_used,power_exponent_used,delta_fatal_percent,delta_fatal_percent_ci_low,delta_fatal_percent_ci_high,safety_score,priority_class,score_explanation,street_image_link
thailand_35019-1,thailand,primary,URBAN,90.0,65.325,30,60.0,80.75,50.75,high,high,high,urban_residential,2.6,86.77764617797108,20.820537203854727,97.79196985656444,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.66665649,14.28749855,100.5917646,14.3536449"
thailand_35223-2,thailand,primary,URBAN,90.0,53.25,30,60.0,69.0,39.0,high,high,high,urban_residential,2.6,77.5050894380578,15.813880247858458,93.98925853003331,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9228402,18.6910563,98.9772549,18.7688946"
thailand_39111-1,thailand,secondary,RURAL,90.0,57.6,30,60.0,69.25,39.25,high,high,high,rural_freeway,4.1,93.10610027159981,84.91912859371446,96.8486003106274,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.2692827,9.0100824,99.2544058,8.9423077"
thailand_21891-2,thailand,primary,RURAL,90.0,57.8,30,60.0,71.0,41.0,high,high,high,rural_freeway,4.1,93.2033797231198,85.06996220032623,96.90596582487497,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.0943178,14.038716,100.0963307,14.0121601"
thailand_35223-0,thailand,primary,URBAN,90.0,53.25,30,60.0,69.0,39.0,high,high,high,urban_residential,2.6,77.5050894380578,15.813880247858458,93.98925853003331,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9228402,18.6910563,98.9772549,18.7688946"
thailand_36710-2,thailand,primary,RURAL,90.0,76.925,30,60.0,92.75,62.75,high,high,high,rural_freeway,4.1,97.89466905385139,93.48287764898942,99.3198810526975,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"104.03396188,16.55032922,103.9097652,16.6402239"
thailand_35222-4,thailand,primary,URBAN,90.0,54.55,30,60.0,69.0,39.0,high,high,high,urban_residential,2.6,78.87246161240498,16.42085002239394,94.65927951601684,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9773488,18.7688521,98.9228402,18.6910563"
thailand_35222-2,thailand,primary,URBAN,90.0,54.55,30,60.0,69.0,39.0,high,high,high,urban_residential,2.6,78.87246161240498,16.42085002239394,94.65927951601684,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9773488,18.7688521,98.9228402,18.6910563"
thailand_22487,thailand,primary,RURAL,90.0,94.5,30,60.0,112.0,82.0,high,high,high,rural_freeway,4.1,99.09442019385124,96.41161201374132,99.77146429303497,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.29165649,16.45764692,100.2600219,16.4708604"
thailand_35222-1,thailand,primary,URBAN,90.0,54.55,30,60.0,69.0,39.0,high,high,high,urban_residential,2.6,78.87246161240498,16.42085002239394,94.65927951601684,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9773488,18.7688521,98.9228402,18.6910563"
thailand_35222-0,thailand,primary,URBAN,90.0,54.55,30,60.0,69.0,39.0,high,high,high,urban_residential,2.6,78.87246161240498,16.42085002239394,94.65927951601684,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9773488,18.7688521,98.9228402,18.6910563"
thailand_33681-5,thailand,primary,URBAN,90.0,65.0,30,60.0,80.5,50.5,high,high,high,urban_residential,2.6,86.60506732866685,20.701975268833294,97.7373431194809,100.0,Top Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.2608218,16.8227594,100.3214454,16.8173891"
