segment_id,country,road_class,land_use,power_environment_used,rank_within_environment,speed_limit,median_speed,v_safe,misalignment,exposure_level,confidence_level,confidence_note,speedlimit_plausibility,delta_fatal_percent,delta_fatal_abs,sample_size_total,priority_class,review_track,score_explanation,street_image_link
thailand_28076-7,thailand,primary,RURAL,rural_freeway,1.0,90.0,100.85,30,60.0,high,low,Exposure uncertain -- field verification recommended,high,99.30637307373266,6564.876061035721,6610.729863390998,Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"102.5420821,16.1372595,102.2817993,16.0705594"
thailand_36668-8,thailand,primary,RURAL,rural_freeway,1.0,90.0,99.175,30,60.0,high,medium,,high,99.25706967317358,3013.122638423746,3035.6755930284226,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"104.3366105,17.7457727,104.74078775,17.45866205"
thailand_36668-19,thailand,primary,RURAL,rural_freeway,1.0,90.0,99.175,30,60.0,high,low,Exposure uncertain -- field verification recommended,high,99.25706967317358,13381.72336799462,13481.884375648991,Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"104.3366105,17.7457727,104.74078775,17.45866205"
thailand_36668-21,thailand,primary,RURAL,rural_freeway,1.0,90.0,99.175,30,60.0,high,medium,,high,99.25706967317358,10072.129185253449,10147.518175197212,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"104.3366105,17.7457727,104.74078775,17.45866205"
thailand_36668-24,thailand,primary,RURAL,rural_freeway,1.0,90.0,99.175,30,60.0,high,high,,high,99.25706967317358,35855.1827934949,36123.555643498476,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"104.3366105,17.7457727,104.74078775,17.45866205"
thailand_21189-2,thailand,primary,RURAL,rural_freeway,1.0,90.0,98.5,30,60.0,high,medium,,high,99.23597318840989,99785.52768201742,100553.78556379363,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.1274694,16.5087131,99.9514546,16.4966763"
thailand_21189-3,thailand,primary,RURAL,rural_freeway,1.0,90.0,98.5,30,60.0,high,medium,,high,99.23597318840989,35409.6482175426,35682.270329846695,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.1274694,16.5087131,99.9514546,16.4966763"
thailand_29539-2,thailand,primary,RURAL,rural_freeway,1.0,90.0,98.47142857,30,60.0,high,low,Exposure uncertain -- field verification recommended,high,99.23506388356171,891.1967884089926,898.0664228268002,Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"103.09596266,14.64199547,103.2988018,14.8787067"
thailand_29539-5,thailand,primary,RURAL,rural_freeway,1.0,90.0,98.47142857,30,60.0,high,medium,,high,99.23506388356171,431075.2192995697,434398.0871573534,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"103.09596266,14.64199547,103.2988018,14.8787067"
thailand_21607-0,thailand,primary,RURAL,rural_freeway,1.0,90.0,98.1,30,60.0,high,medium,,high,99.22311951168682,67525.59325177323,68054.29378162198,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.0613075,15.4123702,100.07498932,15.41568534"
