segment_id,country,road_class,land_use,power_environment_used,rank_within_environment,speed_limit,median_speed,v_safe,misalignment,exposure_level,confidence_level,confidence_note,speedlimit_plausibility,delta_fatal_percent,delta_fatal_abs,sample_size_total,priority_class,review_track,score_explanation,street_image_link
thailand_23721-0,thailand,primary,URBAN,urban_residential,1.0,90.0,88.4,30,60.0,high,medium,,high,93.978019106711,342393.9252394085,364334.0522538829,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4594528,13.95089037,100.46685167,13.95214564"
thailand_23721-1,thailand,primary,URBAN,urban_residential,1.0,90.0,88.4,30,60.0,high,medium,,high,93.978019106711,722807.4505671357,769123.9477461169,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4594528,13.95089037,100.46685167,13.95214564"
thailand_18018-0,thailand,primary,URBAN,urban_residential,1.0,90.0,85.4,30,60.0,high,medium,,high,93.41243674404143,293221.66135554103,313900.0239967993,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.6822222,18.429559,98.6869262,18.4361769"
thailand_39338-3,thailand,secondary,URBAN,urban_residential,1.0,90.0,85.05,30,60.0,high,high,,high,93.3417202904262,40072.79956287226,42931.28457263114,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.38031745,18.28366284,99.3601787,18.3174576"
thailand_17533-0,thailand,primary,URBAN,urban_residential,1.0,90.0,84.23888888,30,60.0,high,medium,,high,93.17374630336668,97794.97549920641,104959.7975601339,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.550742,14.016525,100.54165649,14.22072704"
thailand_17533-1,thailand,primary,URBAN,urban_residential,1.0,90.0,84.23888888,30,60.0,high,high,,high,93.17374630336668,7104100.492355802,7624573.202439866,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.550742,14.016525,100.54165649,14.22072704"
thailand_36687-2,thailand,primary,URBAN,urban_residential,1.0,90.0,84.2,30,60.0,high,high,,high,93.16554600659906,35578.626264846826,38188.60919070526,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.0009456,18.8555869,98.9643414,18.8669504"
thailand_19791-0,thailand,primary,URBAN,urban_residential,1.0,90.0,83.4,30,60.0,high,medium,,high,92.9937838672679,454372.592899045,488605.3389843574,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.5570473,14.030243,99.5536607,14.0290842"
thailand_19791-1,thailand,primary,URBAN,urban_residential,1.0,90.0,83.4,30,60.0,high,medium,,high,92.9937838672679,181363.6015662745,195027.66101564252,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.5570473,14.030243,99.5536607,14.0290842"
thailand_30454-1,thailand,primary,URBAN,urban_residential,1.0,90.0,83.3,30,60.0,high,medium,,high,92.97189471881863,23735.692583991655,25529.965432862435,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"103.77498626,14.92786635,103.81665802,14.94256602"
thailand_30454-2,thailand,primary,URBAN,urban_residential,1.0,90.0,83.3,30,60.0,high,medium,,high,92.97189471881863,65634.81463354407,70596.40424888404,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"103.77498626,14.92786635,103.81665802,14.94256602"
thailand_34271-0,thailand,primary,URBAN,urban_residential,1.0,90.0,83.3,30,60.0,high,medium,,high,92.97189471881863,28373.58839991886,30518.457740084865,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"105.24510932,15.20866207,105.2380184,15.2368344"
thailand_34271-1,thailand,primary,URBAN,urban_residential,1.0,90.0,83.3,30,60.0,high,medium,,high,92.97189471881863,23869.99330252927,25674.418462397643,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"105.24510932,15.20866207,105.2380184,15.2368344"
thailand_34271-5,thailand,primary,URBAN,urban_residential,1.0,90.0,83.3,30,60.0,high,high,,high,92.97189471881863,44334.24081905565,47685.637636125175,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"105.24510932,15.20866207,105.2380184,15.2368344"
thailand_24698-0,thailand,primary,URBAN,urban_residential,1.0,90.0,80.5,30,60.0,high,high,,high,92.31850108910318,792785.6975675205,858750.616848021,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.53620399,13.96613361,100.5402695,13.9665402"
thailand_24698-1,thailand,primary,URBAN,urban_residential,1.0,90.0,80.5,30,60.0,high,medium,,high,92.31850108910318,928610.9229202024,1005877.3831519791,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.53620399,13.96613361,100.5402695,13.9665402"
thailand_19790-0,thailand,primary,URBAN,urban_residential,1.0,90.0,79.8,30,60.0,high,medium,,high,92.14207743558447,419275.84687345714,455031.90132278966,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.5536348,14.0291856,99.5570127,14.0303536"
thailand_42140-0,thailand,secondary,URBAN,urban_residential,1.0,90.0,79.3,30,60.0,high,high,,high,92.01260843644604,2536.7210161281055,2756.927620283955,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.89998626,17.17710486,99.864022,17.166071"
thailand_55540-0,thailand,primary,URBAN,urban_residential,1.0,90.0,78.9,30,60.0,high,high,,high,91.90689725562633,48527.75338143498,52800.99190647438,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"103.5110568,16.4236115,103.4725476,16.4150424"
thailand_259-1,thailand,primary,URBAN,urban_residential,1.0,90.0,78.5,30,60.0,high,medium,,high,91.79923900805477,116898.32001546478,127341.27349923646,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.0724926,18.8428455,99.15353383,18.88366322"
thailand_23325-0,thailand,primary,URBAN,urban_residential,1.0,90.0,77.4,30,60.0,high,medium,,high,91.49275844228616,381590.5013519274,417071.807483688,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4295735,13.9444265,100.43168081,13.94518947"
